"gender","sport","n","test_type"
"Male","Football",333,"CMJ"
"Male","Football",328,"DJ"
"Male","Football",308,"SLJ"
"Male","Football",225,"SLLAH"
"Male","Football",189,"SJ"
"Male","Football",166,"SLHAR"
"Male","Football",156,"SLDJ"
"Male","Badminton",85,"CMJ"
"Female","Football",82,"CMJ"
"Male","Basketball",73,"CMJ"
"Female","Football",71,"DJ"
"Female","Football",67,"SLJ"
"Female","Football",63,"SLLAH"
"Female","Football",55,"SLDJ"
"Female","Football",55,"SLHAR"
"Male","Cricket",46,"CMJ"
"Female","Badminton",37,"CMJ"
"Female","Badminton",33,"DJ"
"Male","Cricket",31,"DJ"
"Female","Badminton",30,"SLHAR"
"Male","Track and Field",29,"CMJ"
"Male","Swimming",27,"CMJ"
"Male","Swimming",26,"SLJ"
"Male","Badminton",25,"DJ"
"Male","Cricket",25,"SLLAH"
"Male","Cricket",24,"SJ"
"Female","Badminton",24,"SLLAH"
"Female","Football",23,"SJ"
"Female","Badminton",23,"SLJ"
"Male","Cricket",23,"SLJ"
"Male","Badminton",22,"SJ"
"Female","Badminton",22,"SLDJ"
"Female","Track and Field",19,"CMJ"
"Male","Track and Field",18,"DJ"
"Female","Badminton",17,"SJ"
"Male","Swimming",17,"SJ"
"Male","Badminton",17,"SLHAR"
"Female","Lawn Tennis",16,"CMJ"
"Female","Track and Field",16,"DJ"
"Male","Cricket",16,"SLDJ"
"Female","Track and Field",16,"SLJ"
"Female","Lawn Tennis",15,"SLLAH"
"Male","Badminton",15,"SLLAH"
"Female","Lawn Tennis",14,"DJ"
"Female","Track and Field",14,"SJ"
"Male","Cricket",14,"SLHAR"
"Male","Track and Field",13,"SJ"
"Male","Badminton",13,"SLJ"
"Male","Swimming",12,"SHLDISOI"
"Male","Swimming",12,"SHLDISOY"
"Male","Track and Field",12,"SLJ"
"Female","Track and Field",12,"SLLAH"
"Female","Badminton",11,"LAH"
"Male","Cricket",11,"SHLDISOT"
"Male","Cricket",11,"SHLDISOY"
"Female","Lawn Tennis",11,"SJ"
"Male","Badminton",11,"SLDJ"
"Female","Lawn Tennis",11,"SLJ"
"Female","Skaters",10,"CMJ"
"Female","Swimming",10,"CMJ"
"Male","Weightlifters",10,"CMJ"
"Male","Swimming",10,"DJ"
"Male","Cricket",10,"SHLDISOI"
"Female","Swimming",10,"SLJ"
"Female","Weightlifters",8,"CMJ"
"Female","Skaters",8,"DJ"
"Female","Football",8,"HJ"
"Male","Cricket",8,"IMTP"
"Female","Lawn Tennis",8,"SHLDISOI"
"Female","Skaters",8,"SJ"
"Female","Swimming",8,"SJ"
"Male","Skaters",7,"CMJ"
"Male","Badminton",7,"HJ"
"Female","Lawn Tennis",7,"SHLDISOY"
"Female","Lawn Tennis",7,"SLDJ"
"Female","Lawn Tennis",7,"SLHAR"
"Female","Football",7,"SQT"
"Male","Table Tennis",6,"CMJ"
"Male","Skaters",6,"DJ"
"Male","Table Tennis",6,"DJ"
"Female","Skaters",6,"HJ"
"Male","Track and Field",6,"IMTP"
"Female","Badminton",6,"SHLDISOI"
"Female","Badminton",6,"SHLDISOY"
"Male","Table Tennis",6,"SJ"
"Female","Skaters",6,"SLDJ"
