"sex","sport","test_type","metric","n","family","AIC","BIC","CRPS","CRPS_rel","Wasserstein1","W1_rel","KS_D","CvM_W2","AD_A2"
"Male","Football","CMJ","Concentric.Impulse_Both_CMJ",333,"BCCGo",3071,3090,14.71,0.2561,9.184,0.1599,0.031,0.03227,0.2847
"Male","Football","CMJ","P2.Concentric.Impulse_Both_CMJ",333,"BCCGo",2623.9,2642.9,7.164,0.2585,3.218,0.1161,0.02132,0.02473,0.1939
"Male","Football","CMJ","Peak.Power_Both_CMJ",333,"BCCGo",5170.7,5189.7,440.8,0.2722,1002,0.6187,0.1023,1.048,6.082
"Male","Football","CMJ","Concentric.Mean.Power_Both_CMJ",333,"BCCGo",4807.8,4826.9,253.6,0.2912,585.5,0.6724,0.09967,0.7868,4.81
"Male","Football","DJ","Concentric.Impulse_Both_DJ",328,"BCCGo",2982.5,3001.5,14.71,0.281,10.69,0.2042,0.0355,0.06118,0.3951
"Male","Football","DJ","Mean.Landing.Power_Both_DJ",328,"BCCGo",4579.7,4598.7,155.2,0.28,67.54,0.1219,0.02302,0.02273,0.1629
"Male","Football","DJ","Positive.Takeoff.Impulse_Both_DJ",328,"BCCGo",3332.3,3351.2,23.21,0.2549,10.9,0.1197,0.03748,0.08564,0.5219
"Male","Football","DJ","Jump.Height..FT..Relative.Landing.RFD_Both_DJ",328,"NO",6020.4,6035.5,1207,0.4818,1016,0.4055,0.2056,4.641,24.71
"Male","Football","SLJ","Concentric.Mean.Force_Left_SLJ",304,"BCCGo",4043.1,4061.7,102.6,0.2646,41.27,0.1064,0.045,0.1231,0.933
"Male","Football","SLJ","Concentric.Impulse_Right_SLJ",306,"NO",2775.3,2790.2,14.04,0.2434,9.649,0.1672,0.09626,0.5812,2.865
"Male","Football","SLJ","Concentric.Impulse_Left_SLJ",304,"NO",2711.3,2726.2,14.01,0.2462,10.79,0.1895,0.08662,0.5647,2.961
"Male","Football","SLJ","Positive.Impulse_Right_SLJ",306,"BCCGo",3429.2,3447.8,43.56,0.29,34.86,0.2321,0.03635,0.0361,0.2732
