"stratum","sex","sport","test_type","metric","family","cv_CRPS_rel","cv_W1_rel","cv_KS_D"
"Male__Football__CMJ","Male","Football","CMJ","Concentric.Impulse_Both_CMJ","BCCGo",0.2643,0.1945,0.09769
"Male__Football__CMJ","Male","Football","CMJ","P2.Concentric.Impulse_Both_CMJ","BCCGo",0.2642,0.1462,0.09808
"Male__Football__CMJ","Male","Football","CMJ","Peak.Power_Both_CMJ","BCCGo",0.2805,0.6569,0.1414
"Male__Football__CMJ","Male","Football","CMJ","Concentric.Mean.Power_Both_CMJ","BCCGo",0.3171,0.5834,0.1208
"Male__Football__DJ","Male","Football","DJ","Concentric.Impulse_Both_DJ","BCCGo",0.2866,0.2226,0.1058
"Male__Football__DJ","Male","Football","DJ","Mean.Landing.Power_Both_DJ","BCCGo",0.2833,0.1583,0.1039
"Male__Football__DJ","Male","Football","DJ","Positive.Takeoff.Impulse_Both_DJ","BCCGo",0.257,0.1407,0.1197
"Male__Football__DJ","Male","Football","DJ","Jump.Height..FT..Relative.Landing.RFD_Both_DJ","NO",0.4858,0.4215,0.2397
"Male__Football__SLJ","Male","Football","SLJ","Concentric.Mean.Force_Left_SLJ","BCCGo",0.2728,0.1375,0.1084
"Male__Football__SLJ","Male","Football","SLJ","Concentric.Impulse_Right_SLJ","NO",0.2457,0.1948,0.1362
"Male__Football__SLJ","Male","Football","SLJ","Concentric.Impulse_Left_SLJ","NO",0.2495,0.2074,0.1286
"Male__Football__SLJ","Male","Football","SLJ","Positive.Impulse_Right_SLJ","BCCGo",0.3183,0.3048,0.09546
"Male__Football__SLLAH","Male","Football","SLLAH","Drop.Landing_Left_SLLAH","NO",0.3854,0.2365,0.1587
"Male__Football__SLLAH","Male","Football","SLLAH","Peak.Drop.Landing.Force_Left_SLLAH","BCCGo",0.4356,0.1781,0.1439
"Male__Football__SLLAH","Male","Football","SLLAH","Peak.Drop.Landing.Force_Right_SLLAH","BCCGo",0.3752,0.1011,0.1227
"Male__Football__SLLAH","Male","Football","SLLAH","Drop.Landing_Right_SLLAH","NO",0.3466,0.1915,0.1742
"Male__Football__SJ","Male","Football","SJ","Peak.Power_Both_SJ","NO",0.2177,0.1464,0.1368
"Male__Football__SJ","Male","Football","SJ","Force.at.Peak.Power_Both_SJ","BCCGo",0.2951,0.2045,0.1154
"Male__Football__SJ","Male","Football","SJ","Takeoff.Peak.Force_Both_SJ","BCCGo",0.2969,0.2036,0.1218
"Male__Football__SJ","Male","Football","SJ","Concentric.Peak.Force_Both_SJ","BCCGo",0.2965,0.2037,0.1211
"Male__Football__SLHAR","Male","Football","SLHAR","Peak.First.Landing.Force_Left_SLHAR","BCCGo",0.2329,0.1445,0.1439
"Male__Football__SLHAR","Male","Football","SLHAR","Peak.Takeoff.Force_Left_SLHAR","BCCGo",0.2178,0.1293,0.1274
"Male__Football__SLHAR","Male","Football","SLHAR","Peak.Takeoff.Force_Right_SLHAR","BCCGo",0.2354,0.1265,0.1094
"Male__Football__SLHAR","Male","Football","SLHAR","Peak.First.Landing.Force_Right_SLHAR","BCCGo",0.2373,0.1238,0.1206
"Male__Football__SLDJ","Male","Football","SLDJ","Concentric.Impulse_Right_SLDJ","BCCGo",0.2265,0.1402,0.1374
"Male__Football__SLDJ","Male","Football","SLDJ","Positive.Impulse_Right_SLDJ","BCCGo",0.2259,0.1467,0.1579
"Male__Football__SLDJ","Male","Football","SLDJ","Positive.Impulse_Left_SLDJ","BCCGo",0.233,0.1273,0.1357
"Male__Football__SLDJ","Male","Football","SLDJ","Concentric.Impulse_Left_SLDJ","NO",0.2164,0.1631,0.1484
"Male__Badminton__CMJ","Male","Badminton","CMJ","Jump.Height..FT..Relative.Peak.Landing.Force_Both_CMJ","NO",0.4131,0.329,0.2205
"Male__Badminton__CMJ","Male","Badminton","CMJ","Eccentric.Mean.Force_Both_CMJ","BCCGo",0.4591,0.3111,0.2026
"Male__Badminton__CMJ","Male","Badminton","CMJ","Mean.Landing.Power_Both_CMJ","BCCGo",0.3285,0.1816,0.1658
"Male__Badminton__CMJ","Male","Badminton","CMJ","Concentric.Mean.Force_Both_CMJ","NO",0.485,0.2882,0.1811
"Female__Football__CMJ","Female","Football","CMJ","Eccentric.Unloading.Impulse_Both_CMJ","NO",0.4564,0.3767,0.2772
"Female__Football__CMJ","Female","Football","CMJ","Takeoff.Peak.Force_Both_CMJ","BCCGo",0.4314,0.3616,0.2288
"Female__Football__CMJ","Female","Football","CMJ","Concentric.Mean.Force_Both_CMJ","BCCGo",0.4614,0.3585,0.2439
"Female__Football__CMJ","Female","Football","CMJ","Force.at.Zero.Velocity_Both_CMJ","BCCGo",0.4575,0.3358,0.2264
"Male__Basketball__CMJ","Male","Basketball","CMJ","Concentric.Maximum.RFD_Both_CMJ","BCCGo",0.3946,0.34,0.3603
"Male__Basketball__CMJ","Male","Basketball","CMJ","Concentric.RPD.100ms...BM_Both_CMJ","NO",0.4826,0.4254,0.2475
"Male__Basketball__CMJ","Male","Basketball","CMJ","P1.Concentric.Impulse_Both_CMJ","BCCGo",0.4667,0.2916,0.2442
"Male__Basketball__CMJ","Male","Basketball","CMJ","Eccentric.Mean.Power_Both_CMJ","BCCGo",0.391,0.2411,0.2534
"Female__Football__DJ","Female","Football","DJ","Mean.Landing.Acceleration_Both_DJ","NO",0.5438,0.4742,0.2578
"Female__Football__DJ","Female","Football","DJ","Jump.Height..FT..Relative.Peak.Landing.Force_Both_DJ","NO",0.424,0.2992,0.2827
"Female__Football__DJ","Female","Football","DJ","RSI..JH..Flight.Time..Contact.Time._Both_DJ","NO",0.4397,0.3397,0.2304
"Female__Football__DJ","Female","Football","DJ","Mean.Takeoff.Acceleration_Both_DJ","NO",0.4248,0.2379,0.2201
"Female__Football__SLJ","Female","Football","SLJ","Start.of.Concentric.Phase_Right_SLJ","NO",0.4844,0.419,0.3602
"Female__Football__SLJ","Female","Football","SLJ","Start.of.Braking.Phase_Right_SLJ","NO",0.485,0.4197,0.3615
"Female__Football__SLJ","Female","Football","SLJ","Eccentric.Peak.Force_Left_SLJ","BCCGo",0.4753,0.3223,0.2678
"Female__Football__SLJ","Female","Football","SLJ","Start.of.Eccentric.Deceleration.Phase_Right_SLJ","NO",0.4847,0.4193,0.3609
"Female__Football__SLLAH","Female","Football","SLLAH","Time.to.Stabilisation_Right_SLLAH","BCCGo",0.5179,0.3823,0.2629
"Female__Football__SLLAH","Female","Football","SLLAH","Peak.Drop.Landing.Force_Right_SLLAH","BCCGo",0.4111,0.2527,0.2172
"Female__Football__SLLAH","Female","Football","SLLAH","Peak.Drop.Landing.Force_Left_SLLAH","BCCGo",0.4438,0.2818,0.2475
"Female__Football__SLLAH","Female","Football","SLLAH","Drop.Landing_Right_SLLAH","NO",0.3805,0.2949,0.2915
"Female__Football__SLDJ","Female","Football","SLDJ","Passive.Stiffness_Left_SLDJ","BCCGo",0.3934,0.2102,0.2469
"Female__Football__SLDJ","Female","Football","SLDJ","Displacement.at.Takeoff_Left_SLDJ","NO",0.5213,0.5417,0.3607
"Female__Football__SLDJ","Female","Football","SLDJ","Peak.Landing.Force_Left_SLDJ","BCCGo",0.4956,0.564,0.3039
"Female__Football__SLDJ","Female","Football","SLDJ","Mean.Takeoff.Acceleration_Right_SLDJ","NO",0.4729,0.4065,0.298
"Female__Football__SLHAR","Female","Football","SLHAR","Peak.Takeoff.Force_Right_SLHAR","BCCGo",0.4437,0.2748,0.2234
"Female__Football__SLHAR","Female","Football","SLHAR","Eccentric.Concentric.Duration_Right_SLHAR","BCCGo",0.6214,0.2699,0.2423
"Female__Football__SLHAR","Female","Football","SLHAR","Peak.First.Landing.Force_Left_SLHAR","BCCGo",0.5413,0.3641,0.216
"Female__Football__SLHAR","Female","Football","SLHAR","Time.to.Stabilisation_Right_SLHAR","BCCGo",0.459,0.2757,0.2011
"Male__Cricket__CMJ","Male","Cricket","CMJ","Mean.Landing.Power_Both_CMJ","BCCGo",0.5378,0.5487,0.2344
"Male__Cricket__CMJ","Male","Cricket","CMJ","Eccentric.Mean.Force_Both_CMJ","BCCGo",0.4292,0.2573,0.2322
"Male__Cricket__CMJ","Male","Cricket","CMJ","Force.at.Peak.Power_Both_CMJ","BCCGo",0.4653,0.263,0.2264
"Male__Cricket__CMJ","Male","Cricket","CMJ","Positive.Takeoff.Impulse_Both_CMJ","BCCGo",0.3961,0.2938,0.2244
