"sex","sport","test","n","p","binding","Indep","Gaussian","Vine","Best","GainOverIndep_pct"
"Male","Badminton","CMJ",85,3,"panel",0.318,0.313,0.314,"Gaussian",1.3
"Male","Basketball","CMJ",73,3,"panel",0.336,0.333,0.331,"Vine",1.5
"Male","Cricket","CMJ",46,3,"panel",0.33,0.327,0.327,"Vine",1
"Male","Football","CMJ",333,3,"panel",0.333,0.326,0.325,"Vine",2.3
"Male","Swimming","CMJ",27,2,"sample size",0.26,0.261,0.253,"Vine",2.8
"Male","Track and Field","CMJ",29,2,"sample size",0.24,0.247,0.249,"Indep",0
"Female","Badminton","DJ",33,3,"panel",0.348,0.335,0.339,"Gaussian",3.7
"Female","Football","DJ",71,3,"panel",0.334,0.324,0.326,"Gaussian",3.1
"Male","Badminton","DJ",25,2,"sample size",0.267,0.268,0.268,"Indep",0
"Male","Cricket","DJ",31,3,"panel",0.322,0.317,0.316,"Vine",1.7
"Male","Football","DJ",328,2,"reliability",0.263,0.261,0.261,"Gaussian",0.6
"Female","Football","SLJ",67,3,"reliability",0.304,0.304,0.307,"Gaussian",0.1
"Male","Football","SLJ",308,4,"panel",0.363,0.352,0.35,"Vine",3.3
"Male","Football","SLDJ",156,4,"panel",0.37,0.362,0.36,"Vine",2.6
"Female","Badminton","SLHAR",30,3,"sample size",0.319,0.305,0.31,"Gaussian",4.4
"Female","Football","SLHAR",55,3,"sample size",0.313,0.314,0.311,"Vine",0.7
"Male","Football","SLHAR",166,4,"panel",0.38,0.367,0.365,"Vine",4
