"athlete_id","sex","sport","test_type","age_years","joint_pct","joint_band","joint_model","n_metrics_used"
"02a3d243-1084-44c3-8c88-08b9f3802be1","Female","Badminton","CMJ",15,NA,"-","-",0
"09faf6d5-182e-4e14-9865-e8b006c8ed8e","Female","Badminton","CMJ",56,NA,"-","-",0
"1304b925-2a3d-43c8-8e74-d2ad9b105075","Female","Badminton","CMJ",9,NA,"-","-",0
"14bb0706-a375-4097-9917-4185ffb07617","Female","Badminton","CMJ",16,NA,"-","-",0
"1e17c601-4233-4b98-900c-1dda39521445","Female","Badminton","CMJ",20,NA,"-","-",0
"225a708d-d2e9-4ebc-aba0-4c8b50199aea","Female","Badminton","CMJ",18,NA,"-","-",0
"227a5eb9-878f-4fbb-b89c-2ad1d9974b91","Female","Badminton","CMJ",20,NA,"-","-",0
"3b8a0371-83dc-4bb2-ac62-0d9f71af9942","Female","Badminton","CMJ",14,NA,"-","-",0
"4f1a127c-df9a-411d-9b05-829581d9df01","Female","Badminton","CMJ",15,NA,"-","-",0
"51c35420-1196-4c6d-b21b-c7932f56fc09","Female","Badminton","CMJ",18,NA,"-","-",0
"53c55056-8ae2-4aba-8307-4cd78f746c9d","Female","Badminton","CMJ",20,NA,"-","-",0
"53c55056-8ae2-4aba-8307-4cd78f746c9d","Female","Badminton","CMJ",21,NA,"-","-",0
"823a94a3-60a6-465a-8c5d-4732c0f0a176","Female","Badminton","CMJ",15,NA,"-","-",0
"823a94a3-60a6-465a-8c5d-4732c0f0a176","Female","Badminton","CMJ",14,NA,"-","-",0
"823a94a3-60a6-465a-8c5d-4732c0f0a176","Female","Badminton","CMJ",15,NA,"-","-",0
"823a94a3-60a6-465a-8c5d-4732c0f0a176","Female","Badminton","CMJ",14,NA,"-","-",0
"9f142ab1-d762-490f-b129-205e63625336","Female","Badminton","CMJ",11,NA,"-","-",0
"a13f5d4e-ee29-4e18-bc90-1b95675a1336","Female","Badminton","CMJ",20,NA,"-","-",0
"a5c4e3f3-cce9-431b-a758-12244c86de72","Female","Badminton","CMJ",15,NA,"-","-",0
"a5c4e3f3-cce9-431b-a758-12244c86de72","Female","Badminton","CMJ",15,NA,"-","-",0
"a5c4e3f3-cce9-431b-a758-12244c86de72","Female","Badminton","CMJ",15,NA,"-","-",0
"af223dcd-50f8-4213-99b8-92750cde0096","Female","Badminton","CMJ",13,NA,"-","-",0
