"sex","sport","test","n","panel_size","p_cohort","joint_model"
"Female","Badminton","CMJ",37,3,0,"-"
"Female","Football","CMJ",82,3,0,"-"
"Male","Football","CMJ",333,3,3,"Gaussian"
"Male","Badminton","CMJ",85,3,3,"Vine"
"Male","Basketball","CMJ",73,3,3,"Gaussian"
"Male","Cricket","CMJ",46,3,3,"Vine"
"Male","Swimming","CMJ",27,3,3,"Vine"
"Male","Track and Field","CMJ",29,3,3,"Vine"
"Female","Badminton","DJ",33,3,3,"Vine"
"Female","Football","DJ",71,3,3,"Vine"
"Male","Football","DJ",328,3,2,"Vine"
"Male","Badminton","DJ",25,3,3,"Gaussian"
"Male","Cricket","DJ",31,3,3,"Gaussian"
"Male","Football","SJ",188,3,0,"-"
"Female","Football","SLJ",67,4,3,"Gaussian"
"Male","Football","SLJ",308,4,4,"Vine"
"Male","Swimming","SLJ",26,4,4,"Gaussian"
"Female","Football","SLDJ",55,4,0,"-"
"Male","Football","SLDJ",156,4,4,"Vine"
"Female","Football","SLLAH",63,3,0,"-"
"Male","Football","SLLAH",225,3,0,"-"
"Male","Cricket","SLLAH",25,3,3,"Gaussian"
"Female","Badminton","SLHAR",30,4,4,"Vine"
"Female","Football","SLHAR",55,4,4,"Vine"
"Male","Football","SLHAR",166,4,4,"Vine"
