"sex","sport","test","metric","n","mass_dep","Linear","NO","BCT","Best"
"Female","Badminton","CMJ","JumpHeight",37,FALSE,0.417,NA,NA,"Linear"
"Female","Badminton","CMJ","mRSI",37,FALSE,0.506,NA,NA,"Linear"
"Female","Badminton","CMJ","EccMeanForce",37,TRUE,0.0421,NA,NA,"Linear"
"Female","Football","CMJ","JumpHeight",82,FALSE,0.505,NA,NA,"Linear"
"Female","Football","CMJ","mRSI",82,FALSE,0.399,NA,NA,"Linear"
"Female","Football","CMJ","EccMeanForce",82,TRUE,0.0373,NA,NA,"Linear"
"Male","Football","CMJ","JumpHeight",333,FALSE,0.283,NA,NA,"Linear"
"Male","Football","CMJ","mRSI",333,FALSE,0.406,NA,NA,"Linear"
"Male","Football","CMJ","EccMeanForce",333,TRUE,0.0757,NA,NA,"Linear"
"Male","Badminton","CMJ","JumpHeight",85,FALSE,0.342,NA,NA,"Linear"
"Male","Badminton","CMJ","mRSI",85,FALSE,0.359,NA,NA,"Linear"
"Male","Badminton","CMJ","EccMeanForce",85,TRUE,0.19,NA,NA,"Linear"
"Male","Basketball","CMJ","JumpHeight",73,FALSE,0.4,NA,NA,"Linear"
"Male","Basketball","CMJ","mRSI",73,FALSE,0.477,NA,NA,"Linear"
"Male","Basketball","CMJ","EccMeanForce",73,TRUE,0.131,NA,NA,"Linear"
"Male","Cricket","CMJ","JumpHeight",46,FALSE,0.475,NA,NA,"Linear"
"Male","Cricket","CMJ","mRSI",46,FALSE,0.437,NA,NA,"Linear"
"Male","Cricket","CMJ","EccMeanForce",46,TRUE,0.0283,NA,NA,"Linear"
"Male","Swimming","CMJ","JumpHeight",27,FALSE,0.333,NA,NA,"Linear"
"Male","Swimming","CMJ","mRSI",27,FALSE,0.387,NA,NA,"Linear"
"Male","Swimming","CMJ","EccMeanForce",27,TRUE,0.4,NA,NA,"Linear"
"Male","Track and Field","CMJ","JumpHeight",29,FALSE,0.276,NA,NA,"Linear"
"Male","Track and Field","CMJ","mRSI",29,FALSE,0.375,NA,NA,"Linear"
"Male","Track and Field","CMJ","EccMeanForce",29,TRUE,0.461,NA,NA,"Linear"
"Female","Badminton","DJ","RSI_FTCT",33,FALSE,0.479,NA,NA,"Linear"
"Female","Badminton","DJ","ContactTime",33,FALSE,0.363,NA,NA,"Linear"
"Female","Badminton","DJ","JumpHeight",33,FALSE,0.359,NA,NA,"Linear"
"Female","Football","DJ","RSI_FTCT",71,FALSE,0.401,NA,NA,"Linear"
"Female","Football","DJ","ContactTime",71,FALSE,0.455,NA,NA,"Linear"
"Female","Football","DJ","JumpHeight",71,FALSE,0.489,NA,NA,"Linear"
"Male","Football","DJ","RSI_FTCT",328,FALSE,0.414,NA,NA,"Linear"
"Male","Football","DJ","ContactTime",328,FALSE,0.386,NA,NA,"Linear"
"Male","Football","DJ","JumpHeight",328,FALSE,0.297,NA,NA,"Linear"
"Male","Badminton","DJ","RSI_FTCT",25,FALSE,0.418,NA,NA,"Linear"
"Male","Badminton","DJ","ContactTime",25,FALSE,0.408,NA,NA,"Linear"
"Male","Badminton","DJ","JumpHeight",25,FALSE,0.373,NA,NA,"Linear"
"Male","Cricket","DJ","RSI_FTCT",31,FALSE,0.381,NA,NA,"Linear"
"Male","Cricket","DJ","ContactTime",31,FALSE,0.446,NA,NA,"Linear"
"Male","Cricket","DJ","JumpHeight",31,FALSE,0.48,NA,NA,"Linear"
"Male","Football","SJ","JumpHeight",188,FALSE,0.158,NA,NA,"Linear"
"Male","Football","SJ","ConcMF_BM",188,FALSE,0.418,NA,NA,"Linear"
"Male","Football","SJ","ForceAtPP",188,TRUE,0.146,NA,NA,"Linear"
