"test","metric","median_ICC","median_MDC95","n_cohorts"
"CMJ","EccMeanForce",0.96,32.4,5
"CMJ","JumpHeight",0.8,9.16,5
"CMJ","mRSI",0.51,20.6,5
"DJ","ContactTime",0.78,0.194,3
"DJ","JumpHeight",0.83,9.9,3
"DJ","RSI_FTCT",0.81,0.609,3
"SJ","ConcMF_BM",0.27,2.71,1
"SJ","ForceAtPP",0.92,87.4,1
"SJ","JumpHeight",0,3650,1
"SLDJ","ConcImp_L",0.47,37.6,2
"SLDJ","ConcImp_R",0.48,41,2
"SLDJ","MeanLandPow_L",0.53,413,2
"SLDJ","MeanLandPow_R",0.65,384,2
"SLHAR","PeakLandF_L",0.79,534,2
"SLHAR","PeakLandF_R",0.83,500,2
"SLHAR","PeakTakeoffF_L",0.79,388,2
"SLHAR","PeakTakeoffF_R",0.81,384,2
"SLJ","ConcImp_L",0.54,37.3,2
"SLJ","ConcImp_R",0.76,28.3,2
"SLJ","ConcMF_L",0.71,266,2
"SLJ","ConcMF_R",0.88,194,2
"SLLAH","DropLand_L",0,311,2
"SLLAH","DropLand_R",0,292,2
"SLLAH","PeakDLF_R",0.54,987,2
